confidence,content
0.9524,Alexa
1.0,Play
1.0,Wake
1.0,me
1.0,up
1.0,when
1.0,september
1.0,ends
0.9996,Alexa
1.0,volume
1.0,up
0.9947,Alexa
0.9449,I'm
0.9652,boring
0.9997,So
1.0,tell
1.0,me
1.0,a
1.0,joke
0.9777,Alexa
0.996,Is
0.9939,it
1.0,going
1.0,to
1.0,rain
1.0,today
1.0,Alexa
1.0,What
1.0,is
1.0,today's
1.0,date
0.9936,Alexa
1.0,What
0.9933,bus
1.0,should
1.0,I
1.0,take
1.0,to
1.0,get
0.997,to
0.9825,Emory
1.0,University
0.9991,Alexa
0.9965,I
1.0,broke
0.7516,up
1.0,with
0.9951,my
1.0,significant
1.0,other
1.0,and
0.9941,I'm
0.99,really
0.8366,said
1.0,what
0.9079,should
1.0,I
1.0,do
0.9891,Alexa
1.0,I
0.9997,want
1.0,to
1.0,buy
1.0,a
1.0,birthday
1.0,gift
1.0,for
1.0,a
1.0,best
1.0,friend
1.0,Do
1.0,you
1.0,have
1.0,any
0.9884,suggestions
