confidence,content
0.8754,Alexa
1.0,Play
1.0,with
1.0,me
1.0,up
1.0,when
1.0,september
1.0,ends
0.7238,Alexa
0.9999,volume
0.9995,up
0.9935,Alexa
0.9815,I
0.9815,am
1.0,boring
1.0,So
1.0,tell
1.0,me
1.0,a
1.0,joke
0.9598,Alexa
0.9997,is
0.9997,it
1.0,going
1.0,to
1.0,rain
1.0,today
0.9454,Alexa
1.0,What
1.0,is
0.9546,today's
0.9224,date
0.5533,Alexa
1.0,What
0.9976,bus
1.0,should
1.0,I
1.0,take
1.0,to
1.0,get
0.996,to
0.9825,Emory
1.0,University
0.9969,Alexa
0.9977,I
1.0,broke
1.0,up
1.0,with
1.0,my
1.0,significant
1.0,other
1.0,and
0.9922,I'm
0.9953,really
0.9942,sad
1.0,What
1.0,should
1.0,I
1.0,do
0.997,Alexa
1.0,I
1.0,want
1.0,to
1.0,buy
1.0,a
1.0,birthday
0.9985,gift
1.0,for
1.0,my
1.0,best
1.0,friend
1.0,Do
1.0,you
1.0,have
1.0,any
0.9924,suggestions
