confidence,content
1.0,Alexa
1.0,play
1.0,Wake
1.0,me
1.0,up
1.0,when
1.0,september
1.0,ends
0.9947,Alexa
1.0,volume
1.0,up
0.9667,Alex
0.999,I'm
0.9928,boring
1.0,So
1.0,tell
1.0,me
1.0,a
1.0,joke
0.9852,Alexa
1.0,Is
0.9988,it
1.0,going
1.0,to
1.0,rain
1.0,today
0.5725,Alexa
0.9524,What's
0.6057,today's
0.7858,state
0.9987,Alexa
0.9998,What
0.9925,bus
0.9988,should
0.8481,I
0.8486,hate
1.0,to
1.0,get
0.9947,to
0.9784,Emory
0.9998,University
0.9986,Alexa
0.9995,I
0.9991,broke
1.0,up
1.0,broke
1.0,up
1.0,with
1.0,my
1.0,significant
1.0,other
1.0,and
0.9831,I'm
0.977,really
1.0,sad
1.0,What
1.0,should
1.0,I
1.0,do
0.9762,Alexa
1.0,I
1.0,want
1.0,to
1.0,buy
1.0,a
0.9914,birthday
1.0,gift
0.9929,for
1.0,my
1.0,best
0.9963,friend
1.0,Do
1.0,you
1.0,have
1.0,any
0.9378,suggestions
